2026 WA Information,,,,,,,,,
Index Number,Class,English WA,English WA Topic,Maths WA,Maths WA Topic,Science WA,Science WA Topic,Mother Tongue WA,Mother Tongue WA Topic
4,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
5,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
6,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
7,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
8,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
9,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
10,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
11,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
12,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
13,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
14,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
15,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
16,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
17,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
18,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
19,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
20,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
21,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
22,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
23,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
24,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
25,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
26,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
27,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
28,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
1,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
2,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
3,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
4,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
5,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
6,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
7,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
8,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
9,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
10,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
11,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
12,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
13,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
14,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
15,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
16,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
17,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
18,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
19,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
20,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
21,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
22,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
23,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
24,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
25,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
26,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
27,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
28,4I,5-Mar,Grammer,5-Mar,Fractions,9-Mar,Matter,11-Mar,Oral
1,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
2,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
3,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
4,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
5,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
6,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
7,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,Exempted,Oral
8,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
9,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
10,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
11,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
12,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
13,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
14,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
15,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
16,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
17,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
18,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
19,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
20,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
21,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
22,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
23,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
24,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
25,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
26,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
27,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
28,4R,28-Feb,Grammer,6-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
1,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
2,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
3,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
4,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
5,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
6,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
7,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
8,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
9,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
10,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
11,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
12,4E,5-Mar,Grammer,27-Feb,Fractions,9-Mar,Matter,11-Mar,Vocabulary
